conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description,uniskill_domain,domain_reason
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,knowledge,sector-specific,SAS language,"SAS coding
SAS algorithms
SAS testing
SAS algorithm
SAS programming language
SAS principles for software development
SAS techniques for software development",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,skill/competence,sector-specific,use an application-specific interface,"use an interface specific to the application
using an interface specific to the application
application-specific interface using
operate an interface specific to the application
using an application-specific interface
application-specific interface operating
operating an interface specific to the application
operating an application-specific interface
operate an application-specific interface",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Understand and use interfaces particular to an application or use case.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,skill/competence,sector-specific,define firewall rules,"specify access control policies
set firewall rules",,released,2025-06-25T08:45:06.159Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,skill/competence,cross-sector,perform online data analysis,"implement online data analysis
undertake online data analysis
performing online data analysis
perform an online data analysis
performing an online data analysis
complete online data analysis",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,skill/competence,sector-specific,manage IT security compliances,"oversee IT security compliance
ensure compliance with information security regulations",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,knowledge,sector-specific,domain name service,"DNS
DNS server",BIND,released,2023-11-29T16:27:22.76Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Naming database which maps internet domain names to Internet Protocol (IP) addresses. The Domain Name System allows internet users to utilise names such as website titles instead of remembering numeric IP addresses used by computers to locate a concrete website.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,knowledge,cross-sector,mathematical modelling,"mathematical computation
mathematical representation
mathematical simulation",,released,2024-01-29T11:25:09.926Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The process of establishing a mathematical representation problem, such as equations, of a real-word to provide insights, discover new features about the problematic scenario, better understand the original problem or to make predictions about it.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,skill/competence,sector-specific,normalise data,"prepare data
normalize data
perform data pre-processing",,released,2022-07-05T14:38:14.9Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,skill/competence,sector-specific,create prototype of user experience solutions,UX,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,skill/competence,cross-sector,apply system organisational policies,"adhere to organisational system guidelines
enforce organisational system policies
implement system regulations",,released,2024-02-29T16:52:04.742Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,skill/competence,cross-sector,propose ICT solutions to business problems,propose technical solutions to business problems,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Suggest how to solve business issues, using ICT means, so that business processes are improved.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,knowledge,cross-sector,computer simulation,"simulation software ANSYS
computer-based simulation",,released,2025-04-11T13:04:46.998Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","A programme run on a computer that represents dynamic responses of a system to explore a mathematical model behaviour, using a model of a real system, composed of mathematical equations.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,skill/competence,cross-sector,cooperate with colleagues,"work together with colleagues
collaborate with colleagues
work in collaboration with colleague
work in cooperation with colleagues
work in cooperation with co-workers
collaborate with co-workers
work collaboratively
work cooperatively
cooperate with co-workers
work together with co-workers
work in collaboration with co-workers",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Cooperate with colleagues in order to ensure that operations run effectively.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,skill/competence,sector-specific,administer ICT system,"administer system
operate system
administer network and system",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,skill/competence,sector-specific,execute social engineering tests,"perform social engineering tests
execute social engineering attacks
test social engineering
perform social engineering attacks
test social engineering attacks",,released,2023-11-29T16:22:44.031Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Perform simulated social engineering attacks to identify vulnerabilities in an organization's security posture. Social engineering tests may involve phishing emails, pretexting, or other forms of manipulation used by attackers to obtain sensitive information or unauthorized access to systems.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,skill/competence,cross-sector,manage research data,"oversee scientific data
handle research data
administer research data",,released,2024-03-01T11:59:56.801Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,knowledge,sector-specific,Cain and Abel (penetration testing tool),"Cain and Abel penetration testing software
Cain and Abel password recovery tool
Cain and Abel
Cain and Abel software for penetration testing
Cain and Abel penetration testing tool",,released,2024-02-23T09:48:33.544Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,knowledge,cross-sector,systems development life-cycle,application development life-cycle,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,skill/competence,sector-specific,manage ICT change request process,"oversee ICT change request process
coordinate ICT change request process
specify the need for ICT change requests
govern ICT change request process
handle ICT change request process",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Specify the incentive for an ICT change request, stating which adjustment in the system needs to be accomplished and execute or supervise the execution of it.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,skill/competence,cross-sector,apply company policies,"administer company policies
applying company policies
employ company policies
utilise company policies
company policy application
apply company policy
implement company policies",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Apply the principles and rules that govern the activities and processes of an organisation.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,skill/competence,sector-specific,plan migration to cloud,"prepare plan for migration to cloud
cloud migration planning
plan refactoring",,released,2024-02-29T16:24:50.953Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Select existing workloads and processes for potential migration to the cloud and choose migration tools. Determine a new cloud architecture for an existing solution, plan a strategy for migrating existing workloads to the cloud.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,knowledge,sector-specific,Agile project management,Agile management software,,released,2025-04-16T09:45:22.199Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,knowledge,sector-specific,network management system tools,network management system components,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,skill/competence,sector-specific,use markup languages,"use html
use mark-up languages
use XHTML
use HTML
use Html",,released,2025-04-16T09:52:41.856Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Utilise computer languages that are syntactically distinguishable from the text, to add annotations to a document, specify layout and process types of documents such as HTML.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,skill/competence,sector-specific,develop automated migration methods,"design automated migration methods
design automated transfer of ICT information
generate automated transfer of ICT information
develop automated transfer of ICT information
create automated transfer of ICT information",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0c766ca3-9364-4203-916b-fed16e4814c1,skill/competence,sector-specific,gather data for forensic purposes,"compile data for forensic purposes
collect data for forensic purposes",,released,2025-06-25T12:15:04.406Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Collect protected, fragmented or corrupted data and other online communication. Document and present findings from this process.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a,skill/competence,cross-sector,coach employees,"train staff to improve performance
employee coaching
coach employees for performance
coach staff
train employees to improve performance",,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Maintain and improve employees' performance by coaching individuals or groups how to optimise specific methods, skills or abilities, using adapted coaching styles and methods. Tutor newly recruited employees and assist them in the learning of new business systems.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,knowledge,sector-specific,Ruby (computer programming),Ruby,,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,knowledge,sector-specific,Common Lisp,Common Lisp programming language,,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,knowledge,sector-specific,Apache Maven,Maven,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d4471ae-3820-4c23-8566-f44a7bd159b2,skill/competence,cross-sector,prepare licence agreements,"prepare license agreements
write licence agreements",,released,2024-02-29T17:21:47.228Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Make the legal contract ready, granting permission to use equipment, services, components, applications and intellectual property.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,skill/competence,cross-sector,communicate with customers,"provide customer service
supply customer service
respond to customer requests
respond to customers
engage with customers
help customers
assist customers
talk with customers
communicate with clients
interact with customers
interact with clients",,released,2025-03-19T11:09:23.139Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,knowledge,sector-specific,ICT network routing,"ICT network routing techniques
ICT network processes
ICT network routing processes
ICT network techniques",,released,2025-06-25T08:20:05.218Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The processes and techniques for choosing the best paths within an ICT network through which a packet can travel.,in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,knowledge,sector-specific,internal risk management policy,risk management internal policy,,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","The internal risk management policies that identify, assess and prioritise risks in an IT environment. The methods used to minimise, monitor and control the possibility and the impact of disastrous events that affect the reaching of business goals.",in_domain,linked to the selected IT occupations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,skill/competence,sector-specific,assess ICT knowledge,"capture IT knowledge
capture ICT knowledge",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.,in_domain,linked to the selected IT occupations
