conceptType,conceptUri,iscoGroup,preferredLabel,job_title_vi,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/custom-5a70f8a656464cdc3325d3b280646733,2511,artificial intelligence engineer,Kỹ sư Trí tuệ Nhân tạo / Học máy,"intelligent systems designers
artificial intelligence designer
ICT intelligent systems designer
AI system designer
semantic technologies engineer
machine learning systems designer
intelligent systems developer
linked data engineer
intelligent system designer
machine learning engineer
designer of intelligent systems
intelligent systems engineer",,released,2025-01-28T16:48:31.951Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Artificial intelligence engineer apply methods of artificial intelligence in engineering, robotics and computer science to design programs which simulate intelligence including thinking models, cognitive and knowledge-based systems, problem solving, and decision making. They also integrate structured knowledge into computer systems (ontologies, knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods.",2511.11,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622,
http://data.europa.eu/ux2/nace2.1/7499"
Occupation,http://data.europa.eu/esco/occupation/custom-652f499181e66b1d08f66519850ae31c,1330,ICT product manager,Quản lý sản phẩm CNTT,"ICT product managers
IT product manager
IT products manager
ICT products managers
ICT products manager",,released,2024-01-25T12:31:33.038Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT product managers analyse and define current and target status for ICT products, services or solutions. They estimate the cost effectiveness, points of risk, opportunities, strengths and weaknesses of products or services provided. ICT product managers create structured plans and establish time scales and milestones, ensuring optimisation of activities and resources.",1330.6,http://data.europa.eu/ux2/nace2.1/63
Occupation,http://data.europa.eu/esco/occupation/custom-6db49176b0217912cdeeebdb492537e0,2519,Software/System Tester,Nhân viên kiểm thử phần mềm & hệ thống,"module tester
application tester
soft tester
application software tester
software testing specialist
unit tester
software testers
software application tester
tester | IT system tester
ICT systems tester
systems tester
ICT systems test engineer
ICT systems testers",,released,2024-01-26T16:03:05.864Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing managerial activities. | Excludes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients. | ICT system testers perform testing activities and some test planning activities. They may also debug and repair ICT systems and components although this mainly corresponds to designers and developers. They ensure that all systems and components function properly before delivering them to internal and external clients.,"2519.7,2519.7.4","http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/712"
Occupation,http://data.europa.eu/esco/occupation/custom-8893c8ea0f3f540ec72385235e999b46,2529,ICT Security Specialist,Chuyên viên An toàn / Bảo mật hệ thống,"CISO
IT security administrator
information security administrator
ICT security administrators
network security administrator
system security administrator | network security tester
cybersecurity specialist
cybersecurity tester
ICT security tester
system security tester
red team expert
penetration tester
pentester
offensive cybersecurity expert
vulnerability analyst",,released,2024-01-26T09:53:59.172Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption. | Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.","2529.4,2529.6",http://data.europa.eu/ux2/nace2.1/6392
Occupation,http://data.europa.eu/esco/occupation/custom-89786d348475e1b38e2ee9b1cb4186e6,2521,Data Engineer,Kỹ sư dữ liệu,"data warehouse architect
data warehouse developer | data engineer expert
research data engineer",,released,2024-01-26T11:25:40.461Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,Excludes data scientist and data analyst.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design. | Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage.","2511.20,2521.5","http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/631"
Occupation,http://data.europa.eu/esco/occupation/custom-8e2efb50fbf2b9716382812bdfd48744,2519,ICT auditor manager,Quản lý Kiểm toán CNTT,"ICT auditor managers
ICT audit manager
information technology audit manager
IT audit manager",,released,2024-01-26T14:54:08.85Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT auditor managers monitor ICT auditors responsible for auditing information systems, platforms, and operating procedures in accordance with established corporate standards for efficiency, accuracy and security. They evaluate ICT infrastructure in terms of risk to the organisation and establish controls to mitigate loss. They determine and recommend improvements in the current risk management controls and in the implementation of system changes or upgrades.",2519.2,http://data.europa.eu/ux2/nace2.1/622
Occupation,http://data.europa.eu/esco/occupation/custom-98baef4429d713e0a56ae4032a7bd6bc,2512,software architect,Kiến trúc sư phần mềm,"software architects
software designer
application architect",,released,2024-01-26T14:06:28.616Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing programming and coding activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Software architects create the technical design and the functional model of a software system, based on functional specifications. They also design the architecture of the system or different modules and components related to the business' or customer requirements, technical platform, computer language or development environment.",2512.3,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-aaab9b2aa1bdcc87cf6c4ddc1401b293,2512,software analyst,Nhà phân tích hệ thống CNTT,"software requirement analyst
programming analyst
software analysts
programmer analyst
application analyst
software requirements analyst
analyst of software",,released,2024-01-26T14:06:25.576Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.",2512.2,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-b4b1e7648f32fd0438f7af98502efc1a,1330,ICT operations manager,Quản lý vận hành CNTT,"IT process manager
ICT operations managers
IT operations manager
data processing manager
ICT data processing manager
systems and networks manager
IT data processing manager
ICT acquisitions manager",,released,2024-01-25T12:31:26.901Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT operations managers coordinate ICT services and infrastructure ensuring that the organisation has the required infrastructural resources. They also plan and monitor stages of either a business process or a computer process, negotiate contracts and take mitigation action in case of non-fulfilment of agreements. They oversee the day-to-day tasks involving infrastructure components, ICT systems and software.",1330.5,http://data.europa.eu/ux2/nace2.1/63
Occupation,http://data.europa.eu/esco/occupation/custom-bf4f66ab6e3909fc5cbcfc166bd9a1ad,2514,mobile application developer,Lập trình viên ứng dụng di động,"cell phone app developer
app programmer
mobile app specialist
app coder
mobile app developer
app developer",,released,2023-08-08T15:29:36.608Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Mobile application developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems.",2514.2.2,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-c5daeff191b1fe89eac84a5bcde0e1ab,2511,data analyst,Nhà phân tích dữ liệu,"battery data analyst
mine electrification data analyst
data warehouse analyst
data warehousing analyst
battery materials data analyst
battery module performance data analyst
business data analyst
data storage analyst",,released,2025-04-11T11:27:25.66Z,http://data.europa.eu/esco/regulated-professions/unregulated,"Excludes people performing managerial, engineering, and programming activities.",,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.",2511.3,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-cb98c78dd52d60b5144e1fde5ce91b98,2512,user interface developer,Lập trình viên giao diện (Frontend),"user interface engineer
user interface developers
UI programmer
front end developer
UI developer
UI developers",,released,2024-01-26T14:06:31.556Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.",2512.5,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-e31eedc5fdb831facf8d1e71dc478033,2513,digital games developer,Lập trình viên Game,"digital games developers
digital game developer
computer games developer
games programmer
video games developer
virtual games developer",,released,2024-01-26T12:43:01.504Z,http://data.europa.eu/esco/regulated-professions/unregulated,Includes people performing managerial activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Digital games developers program, implement and document digital games. They implement technical standards in gameplay, graphics, sound and functionality.",2513.1,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-ed68e13ed0bcd22c82e5f78c513d3f62,2512,Cloud Engineer,Kỹ sư Cloud,"aws cloud architect
cloud solutions consultant | devops analyst
devops consultant
cloud devops solution specialist
devops administrator
devops engineer
cloud infrastructure devops engineer
devops architect
site reliability devops engineer
cloud automation engineer
devops specialist
devops
cloud devops
devops consultant engineer","azure cloud architect | azure cloud devops
linux cloud engineer
openshift devops consultant
aws devops engineer",released,2024-01-05T09:36:53.567Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Cloud architects are responsible for converting the technical features of a project into the architecture to lead to the final product. To develop technical cloud strategy, they have in-depth knowledge of the architectural principles and services, assisting with cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. They typically perform in a pre-sales capacity and are often asked to deliver proof-of-concept projects, topical workshops, and lead implementation projects. They team up with DevOps engineers to build the appropriate technologies. | Cloud DevOps engineers implement and manage continuous software delivery systems and methodologies. This includes managing and configuring code repositories, build services, automated testing, and deployment mechanisms. For cloud-based workloads, a Cloud DevOps Engineer define and deploy infrastructure as code, automating test and development environments. They can define and configure automated disaster recovery solutions that meet business objectives.","2512.6,2512.7","http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-f0083e6dec9c60b597e5535ef182150d,2511,ICT business analyst,Nhà phân tích kinh doanh,"requirement engineer
business process specialist
IT business analyst
ICT business analysts",,released,2025-02-27T12:25:01.531Z,http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing development activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT business analysts are in charge of analysing and designing an organisation's processes and systems, assessing the business model and its integration with technology. They also identify change needs, assess the impact of the change, capture and document requirements and then ensure that these requirements are delivered whilst supporting the business through the implementation process.",2511.9,"http://data.europa.eu/ux2/nace2.1/702,
http://data.europa.eu/ux2/nace2.1/6392"
Occupation,http://data.europa.eu/esco/occupation/custom-f162a120ee207232216a67482b7daefa,2513,web developer,Lập trình viên web,"web application developer
web developers
web engineer
web specialist
web programmer",,released,2024-02-06T13:41:54.202Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Web developers develop, implement and document web-accessible software based on the designs provided. They align the client's web presence with its business strategy, troubleshoot software problems and issues and look for ways to improve the application.",2513.5,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/622"
Occupation,http://data.europa.eu/esco/occupation/custom-f2bc5939423c50e731bbe677dc53a6cb,3514,Webmaster,Quản trị viên website,"website administrator
web administrator
web technician
e-commerce technician
webmasters",,released,2024-01-25T09:26:50.121Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Webmasters deploy, maintain, monitor and support a web server to meet service requirements. They ensure optimum system integrity, security, backup and performance. They coordinate the content, quality and style of websites, execute the website strategy and update and add new features to websites.",3514.1,"http://data.europa.eu/ux2/nace2.1/6039,
http://data.europa.eu/ux2/nace2.1/6391"
Occupation,http://data.europa.eu/esco/occupation/custom-f37b6042a820952eeea3867fcf5e2e59,2521,database designer,Người thiết kế cơ sở dữ liệu,"database designers
data architect
secure could-edge computing system architect
data base designer
data model designer
data base designers
database architect
database design engineer",,released,2023-07-04T15:37:47.619Z,http://data.europa.eu/esco/regulated-professions/unregulated,"Excludes people performing managerial, programming, coding, and setting of a system's activities.",,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition.",2521.2,"http://data.europa.eu/ux2/nace2.1/621,
http://data.europa.eu/ux2/nace2.1/631"
Occupation,http://data.europa.eu/esco/occupation/custom-f40a467772aa4ee55519943bb1d149ca,3512,ICT security technician,Kỹ thuật viên An toàn thông tin,"IT security officer
ICT security technicians
cybersecurity solutions expert
cybersecurity developer
development and operations security engineer
cybersecurity implementer
ICT security officer
IT security technician
DevSecOps engineer
information security implement",,released,2023-10-26T09:10:14.219Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","ICT security technicians propose and implement necessary security updates and measures whenever is required. They advise, support, inform and provide training and security awareness.",3512.3,http://data.europa.eu/ux2/nace2.1/629
Occupation,http://data.europa.eu/esco/occupation/custom-f95ccd66094d4e5ace9c0107d6d71d7e,2529,Cyber Incident Responder,Chuyên viên Ứng phó sự cố & Điều tra số,"ICT security consultant
cyber crisis expert
information technology security consultant
security operations center analyst
cyber incident handler
information communications technology security consultant
cyber fighter
IT security expert
incident response engineer
ICT security engineer
cybersecurity SIEM manager
ICT security advisor
IT security advisor
security architect
security operation analyst
SOC Analyst
consultant in ICT security activities
cyber defender
IT security consultant
ICT security architect | business continuity analyst
ICT resilience analysts
IT resilience analyst
IT disaster recovery analyst
business continuity strategist
disaster recovery officer",,released,2025-08-01T14:41:50.583Z,http://data.europa.eu/esco/regulated-professions/unregulated | http://data.europa.eu/esco/regulated-professions/unregulated,Excludes people performing development activities.,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken. | ICT disaster recovery analysts develop, maintain, and implement ICT continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations.","2529.7,2519.4",http://data.europa.eu/ux2/nace2.1/8009
