mucTieu_id,loai_muc_tieu,ma_muc_tieu,noi_dung
IT6203_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên các kiến thức nền tảng và nguyên lý hoạt động cốt lõi của hệ điều hành, bao gồm quản lý tiến trình, lập lịch CPU, xử lý bế tắc, quản lý bộ nhớ và thiết bị ngoại vi."
IT6203_G2,KY_NANG,G2,"Rèn luyện kỹ năng phân tích, giải quyết các vấn đề đồng bộ hóa, lập lịch và quản lý tài nguyên trong hệ thống máy tính."
IT6203_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
IT6204_G1,KIEN_THUC,G1,"Trình bày được vai trò của phân tích, thiết kế trong chu trình phát triển phần mềm;"
IT6204_G1,KIEN_THUC,G1,"Trình bày được quy trình khảo sát, thu thập yêu cầu, phân tích chức năng, cấu trúc và hành vi của hệ thống thông qua các biểu đồ UML: biểu đồ use case, biểu đồ lớp, biểu đồ trình tự, biểu trạng thái và biểu đồ hoạt động. Trình bày được quy trình thiết kế lớp, thiết kế dữ liệu và thiết kế giao diện"
IT6204_G2,KY_NANG,G2,"Vận dụng quy trình phân tích thiết kế, sử dụng các công cụ thiết kế phần mềm và ngôn ngữ UML để mô hình hóa một hệ thống phần mềm cụ thể, xây dựng tài liệu thiết kế kỹ thuật và thiết kế giải pháp phần mềm phù hợp yêu cầu. Áp dụng các kỹ năng làm việc nhóm để đạt mục tiêu học tập."
IT6204_G3,TU_CHU_TRACH_NHIEM,G3,"Hình thành tỉnh thần trách nhiệm và ý thức nghề nghiệp trong thực hiện các hoạt động phân tích và thiết kế hệ thống. Chủ động trong việc thu thập và xử lý thông tin, cập nhật kiến thức mới và xu thế phát triển phần mềm."
IT6205_G1,KIEN_THUC,G1,Trang bị cho người học các kiến thức thực tế tại các tổ chức và doanh nghiệp.
IT6205_G2,KY_NANG,G2,"Người học triển khai tổng thể một hệ thống thông tin hoặc dự án công nghệ/kỹ thuật thuộc lĩnh vực CNTT trong các tổ chức, doanh nghiệp."
IT6205_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
IT6205_G1,KIEN_THUC,G1,Trang bị cho người học các kiến thức thực tế tại các tổ chức và doanh nghiệp.
IT6205_G2,KY_NANG,G2,"Người học triển khai tổng thể một hệ thống thông tin hoặc dự án công nghệ/kỹ thuật thuộc lĩnh vực CNTT trong các tổ chức, doanh nghiệp."
IT6205_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
IT6206_G1,KIEN_THUC,G1,Trang bị kiến thức tổng hợp cho người học để xây dựng phần mềm hoặc giải quyết vấn đề thực tế dựa trên giải pháp công nghệ thông tin.
IT6206_G2,KY_NANG,G2,Người học vận dụng kiến tổng hợp để xây dựng phần mềm hoặc giải quyết vấn đề thực tế dựa trên giải pháp công nghệ thông tin.
IT6206_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
IT6206_G1,KIEN_THUC,G1,Trang bị kiến thức tổng hợp cho người học để xây dựng phần mềm hoặc giải quyết vấn đề thực tế dựa trên giải pháp công nghệ thông tin.
IT6206_G2,KY_NANG,G2,Người học vận dụng kiến tổng hợp để xây dựng phần mềm hoặc giải quyết vấn đề thực tế dựa trên giải pháp công nghệ thông tin.
IT6206_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
IT6208_G1,KIEN_THUC,G1,"Học phần giúp sinh viên vận dụng tổng hợp kiến thức chuyên ngành Hệ thống thông tin để phân tích, thiết kế và đánh giá giải pháp phần mềm/hệ thống thông tin đáp ứng các yêu cầu điện toán cụ thể; đồng thời hiểu rõ các nguyên tắc chuyển giao, vận hành và quản lý hệ thống thông tin trong bối cảnh thực tế."
IT6208_G1,KIEN_THUC,G1,"Học phần giúp sinh viên vận dụng tổng hợp kiến thức chuyên ngành Hệ thống thông tin để phân tích, thiết kế và đánh giá giải pháp phần mềm/hệ thống thông tin đáp ứng các yêu cầu điện toán cụ thể; đồng thời hiểu rõ các nguyên tắc chuyển giao, vận hành và quản lý hệ thống thông tin trong bối cảnh thực tế."
IT6217_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên kiến thức nền tảng về nhóm ngành Máy tính và Công nghệ thông tin, phương pháp học tập hiệu quả, cũng như trang bị các kỹ năng giao tiếp, đạo đức nghề nghiệp, pháp luật và năng lực làm việc nhóm trong lĩnh vực kỹ thuật."
IT6217_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6010_G1,KIEN_THUC,G1,"Trang bị cho sinh viên hệ thống tri thức cơ bản, có hệ thống về triết học Mác - Lênin, bao gồm chủ nghĩa duy vật biện chứng và chủ nghĩa duy vật lịch sử."
LP6010_G2,KY_NANG,G2,"Rèn luyện tư duy biện chứng, xây dựng thế giới quan khoa học và phương pháp luận duy vật để vận dụng giải quyết các vấn đề thực tiễn, đồng thời bồi dưỡng niềm tin và lý tưởng cách mạng."
LP6010_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6021_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên những kiến thức cơ bản, nền tảng về Nhà nước, pháp luật nói chung và Nhà nước, pháp luật Cộng hòa xã hội chủ nghĩa Việt Nam, cũng như các nội dung trọng tâm của Luật Dân sự và Luật Phòng, chống tham nhũng."
LP6021_G2,KY_NANG,G2,Rèn luyện kỹ năng vận dụng các quy định của pháp luật để phân tích và giải quyết các tình huống pháp lý thông thường phát sinh trong đời sống thực tiễn.
LP6021_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6022_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên hệ thống kiến thức toàn diện về cơ sở hình thành, bản chất, nội dung cơ bản của tư tưởng Hồ Chí Minh về cách mạng Việt Nam."
LP6022_G2,KY_NANG,G2,Rèn luyện kỹ năng vận dụng tư tưởng Hồ Chí Minh vào việc phân tích và giải quyết các vấn đề thực tiễn của công cuộc xây dựng và bảo vệ Tổ quốc hiện nay.
LP6022_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6025_G1,KIEN_THUC,G1,"Trang bị cho sinh viên hệ thống kiến thức cơ bản của kinh tế chính trị Mác - Lênin về sản xuất hàng hóa, giá trị thặng dư, cạnh tranh, độc quyền và vận dụng vào thực tiễn phát triển kinh tế thị trường định hướng xã hội chủ nghĩa ở Việt Nam."
LP6025_G2,KY_NANG,G2,"Hình thành năng lực tư duy lý luận, kỹ năng phân tích, đánh giá các vấn đề kinh tế - xã hội thực tiễn và bồi dưỡng niềm tin, đạo đức nghề nghiệp cho sinh viên."
LP6025_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6026_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên những tri thức lý luận cơ bản của Chủ nghĩa xã hội khoa học, bao gồm sứ mệnh lịch sử của giai cấp công nhân, thời kỳ quá độ lên chủ nghĩa xã hội, dân chủ xã hội chủ nghĩa, nhà nước xã hội chủ nghĩa, cũng như các vấn đề về cơ cấu xã hội - giai cấp, dân tộc, tôn giáo và gia đình."
LP6026_G2,KY_NANG,G2,"Bồi dưỡng cho sinh viên năng lực vận dụng các nguyên lý của Chủ nghĩa xã hội khoa học vào việc phân tích và giải quyết các vấn đề thực tiễn trong công cuộc xây dựng chủ nghĩa xã hội ở Việt Nam, đồng thời củng cố niềm tin và lý tưởng cách mạng."
LP6026_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
LP6027_G1,KIEN_THUC,G1,"Cung cấp cho sinh viên hệ thống kiến thức cơ bản, có hệ thống về sự ra đời của Đảng Cộng sản Việt Nam và quá trình lãnh đạo cách mạng Việt Nam qua các thời kỳ lịch sử."
LP6027_G2,THAI_DO,G2,"Nâng cao nhận thức, niềm tin vững chắc vào sự lãnh đạo của Đảng, từ đó bồi dưỡng lòng yêu nước, ý thức trách nhiệm trong việc xây dựng và bảo vệ Tổ quốc Việt Nam xã hội chủ nghĩa."
LP6027_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
SC6013_G1,KIEN_THUC,G1,"Học phần trang bị cho sinh viên kiến thức nền tảng và kỹ năng lựa chọn, vận dụng các quy trình và công cụ quản lý dự án công nghệ thông tin theo phương pháp truyền thống, bao gồm các giai đoạn khởi tạo, lập kế hoạch, thực hiện, giám sát và kết thúc dự án; đồng thời giúp sinh viên nằm vững việc sử dụng các công cụ quản lý phổ biến như WBS, Gantt Chart, PERT, CPM, MS Project và các kỹ thuật quản lý phạm vi, chi phí, tiến độ, nhân lực và rủi ro dự án."
SC6013_G2,KY_NANG,G2,"Sau khi hoàn thành học phần, sinh viên có khả năng xây dựng, tổ chức và triển khai kế hoạch quản lý dự án công nghệ thông tin một cách có hệ thống, đáp ứng yêu cầu của tổ chức và các bên liên quan, đồng thời vận dụng hiệu quả các công cụ và kỹ thuật quản lý dự án trong các tỉnh huống thực tiễn."
SC6013_G1,KIEN_THUC,G1,"Học phần trang bị cho sinh viên kiến thức nền tảng và kỹ năng lựa chọn, vận dụng các quy trình và công cụ quản lý dự án công nghệ thông tin theo phương pháp truyền thống, bao gồm các giai đoạn khởi tạo, lập kế hoạch, thực hiện, giám sát và kết thúc dự án; đồng thời giúp sinh viên nằm vững việc sử dụng các công cụ quản lý phổ biến như WBS, Gantt Chart, PERT, CPM, MS Project và các kỹ thuật quản lý phạm vi, chi phí, tiến độ, nhân lực và rủi ro dự án."
SC6013_G2,KY_NANG,G2,"Sau khi hoàn thành học phần, sinh viên có khả năng xây dựng, tổ chức và triển khai kế hoạch quản lý dự án công nghệ thông tin một cách có hệ thống, đáp ứng yêu cầu của tổ chức và các bên liên quan, đồng thời vận dụng hiệu quả các công cụ và kỹ thuật quản lý dự án trong các tỉnh huống thực tiễn."
SC6016_G1,KIEN_THUC,G1,"Cùng cố lại các kiến thức, kỹ năng cơ sở ngành Công nghệ thông tin."
SC6016_G2,KY_NANG,G2,"Người học vận dụng kiến thức cơ sở ngành để phân tích, thiết kế và triển khai giải pháp Công nghệ thông tin cơ bản."
SC6016_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm tức."
SC6016_G1,KIEN_THUC,G1,"Cùng cố lại các kiến thức, kỹ năng cơ sở ngành Công nghệ thông tin."
SC6016_G2,KY_NANG,G2,"Người học vận dụng kiến thức cơ sở ngành để phân tích, thiết kế và triển khai giải pháp Công nghệ thông tin cơ bản."
SC6016_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm tức."
SC6019_MT1,KIEN_THUC,MT1,Kiến thức nền tảng về các thuật toán và mô hình học máy cơ bản và hiện đại.
SC6019_MT2,KY_NANG,MT2,"Kỹ năng phân tích dữ liệu, lựa chọn và áp dụng các mô hình học máy phù hợp để giải quyết các bài toán thực tế."
SC6019_MT3,KY_NANG,MT3,"Kỹ năng sử dụng các công cụ, thư viện lập trình để triển khai, đánh giá và"
SC6019_MT4,TU_CHU_TRACH_NHIEM,MT4,"Khả năng tự học, nghiên cứu tài liệu và cập nhật các công nghệ mới trong lĩnh vực trí tuệ nhân tạo và học máy."
SC6019_MT1,KIEN_THUC,MT1,Kiến thức nền tảng về các thuật toán và mô hình học máy cơ bản và hiện đại.
SC6019_MT2,KY_NANG,MT2,"Kỹ năng phân tích dữ liệu, lựa chọn và áp dụng các mô hình học máy phù hợp để giải quyết các bài toán thực tế."
SC6019_MT3,KY_NANG,MT3,"Kỹ năng sử dụng các công cụ, thư viện lập trình để triển khai, đánh giá và"
SC6019_MT4,TU_CHU_TRACH_NHIEM,MT4,"Khả năng tự học, nghiên cứu tài liệu và cập nhật các công nghệ mới trong lĩnh vực trí tuệ nhân tạo và học máy."
SC6205_G1,KIEN_THUC,G1,"Môn học trang bị các kiến thức về cấu trúc dữ liệu, giải thuật, phân tích, đánh giá giải thuật, sử dụng chiến lược thiết kế giải thuật; Vận dụng lựa chọn, sử dụng được cấu trúc dữ liệu và giải thuật cho các bài toán cụ thể."
SC6205_G2,KY_NANG,G2,"Vận dụng thành thạo các kiến thức, kỹ năng để giải quyết một số bài toán cụ thể."
SC6205_G3,TU_CHU_TRACH_NHIEM,G3,"Hoàn thành các bài học trực tuyến trên hệ thống. Chủ động tìm hiểu, tiếp thu kiến thức, có ý thức tự học và thái độ nghiệm tức trong học tập."
SC6205_G1,KIEN_THUC,G1,"Môn học trang bị các kiến thức về cấu trúc dữ liệu, giải thuật, phân tích, đánh giá giải thuật, sử dụng chiến lược thiết kế giải thuật; Vận dụng lựa chọn, sử dụng được cấu trúc dữ liệu và giải thuật cho các bài toán cụ thể."
SC6205_G2,KY_NANG,G2,"Vận dụng thành thạo các kiến thức, kỹ năng để giải quyết một số bài toán cụ thể."
SC6205_G3,TU_CHU_TRACH_NHIEM,G3,"Hoàn thành các bài học trực tuyến trên hệ thống. Chủ động tìm hiểu, tiếp thu kiến thức, có ý thức tự học và thái độ nghiệm tức trong học tập."
SC6208_G1,KIEN_THUC,G1,"Trang bị cho sinh viên kiến thức nền tảng và kỹ năng thực hành về các kiểu dữ liệu, cấu trúc điều khiển, lập trình mô đun, con trỏ và xử lý tệp trong Kỹ thuật lập trình."
SC6208_G2,KY_NANG,G2,"Phát triển khả năng vận dụng công cụ để phân tích, giải quyết các bài toán cơ bản và kỹ năng gỡ lỗi (debugging) trong lập trình."
SC6208_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
SC6212_4.1,KIEN_THUC,4.1,"Trang bị cho sinh viên các kiến thức nền tảng về ngôn ngữ lập trình Java, bao gồm cú pháp cơ bản, cấu trúc điều khiển, lập trình hướng đối tượng và các thư viện chuẩn. Sinh viên hiểu được cách xử lý măng, chuỗi, tập hợp, ngoại lệ, vào/ra dữ liệu và kết nối cơ sở dữ liệu bằng JDBC. Đồng thời nấm được nguyên lý xây dựng ứng dụng Java có giao diện người dùng cơ bản."
SC6212_4.2,KY_NANG,4.2,"Rèn luyện kỹ năng viết chương trình Java từ mức độ đơn giản đến trung bình, vận dụng đúng các kỹ thuật lập trình hướng đối tượng. Sinh viên có khả năng phân tích bài toán, thiết kế giải pháp và cải đặt chương trình Java hoàn chính."
SC6212_4.1,KIEN_THUC,4.1,"Trang bị cho sinh viên các kiến thức nền tảng về ngôn ngữ lập trình Java, bao gồm cú pháp cơ bản, cấu trúc điều khiển, lập trình hướng đối tượng và các thư viện chuẩn. Sinh viên hiểu được cách xử lý măng, chuỗi, tập hợp, ngoại lệ, vào/ra dữ liệu và kết nối cơ sở dữ liệu bằng JDBC. Đồng thời nấm được nguyên lý xây dựng ứng dụng Java có giao diện người dùng cơ bản."
SC6212_4.2,KY_NANG,4.2,"Rèn luyện kỹ năng viết chương trình Java từ mức độ đơn giản đến trung bình, vận dụng đúng các kỹ thuật lập trình hướng đối tượng. Sinh viên có khả năng phân tích bài toán, thiết kế giải pháp và cải đặt chương trình Java hoàn chính."
SC6213_G1,KIEN_THUC,G1,Năm chắc kiến thức Java nâng cao hiện đại và vận dụng vào thực hiện các dự án thực tế.
SC6213_G2,KY_NANG,G2,"Có khả năng nghiên cứu tài liệu, thành thạo trong lập trình với các công nghệ Java nâng cao, hiện đại và khả năng vận dụng vào giải quyết bài toán thực tế; trình bày và bảo vệ kết quả thực hiện nhiệm vụ được phân công."
SC6213_G3,TU_CHU_TRACH_NHIEM,G3,"Chủ động và hoàn thành nội dung thực hiện trước khi lên lớp, tham dự đủ thời gian học tập trên lớp; hiểu và thực hiện đạo đức nghề nghiệp trong sử dụng tài liệu trên không gian mạng và các tài liệu bản quyền khác."
SC6213_G1,KIEN_THUC,G1,Năm chắc kiến thức Java nâng cao hiện đại và vận dụng vào thực hiện các dự án thực tế.
SC6213_G2,KY_NANG,G2,"Có khả năng nghiên cứu tài liệu, thành thạo trong lập trình với các công nghệ Java nâng cao, hiện đại và khả năng vận dụng vào giải quyết bài toán thực tế; trình bày và bảo vệ kết quả thực hiện nhiệm vụ được phân công."
SC6213_G3,TU_CHU_TRACH_NHIEM,G3,"Chủ động và hoàn thành nội dung thực hiện trước khi lên lớp, tham dự đủ thời gian học tập trên lớp; hiểu và thực hiện đạo đức nghề nghiệp trong sử dụng tài liệu trên không gian mạng và các tài liệu bản quyền khác."
SC6214_G1,KIEN_THUC,G1,"Giải thích được cơ chế hoạt động của ASP.NET Core, Middleware, và Dependency Injection."
SC6214_G2,KIEN_THUC,G2,Phân tích và áp dụng thành thạo mô hình Model-View-Controller để tổ chức mã nguồn khoa học.
SC6214_G3,KIEN_THUC,G3,"Hiểu sâu về Entity Framework Core để thực hiện các thao tác ORM (Object-Relational Mapping), truy vấn và quản lý cơ sở dữ liệu."
SC6214_G4,KIEN_THUC,G4,Năm vững nguyên lý về Authentication (Xác thực) và Authorization (Phân quyền) để bảo vệ ứng dụng.
SC6214_G1,KIEN_THUC,G1,"Giải thích được cơ chế hoạt động của ASP.NET Core, Middleware, và Dependency Injection."
SC6214_G2,KIEN_THUC,G2,Phân tích và áp dụng thành thạo mô hình Model-View-Controller để tổ chức mã nguồn khoa học.
SC6214_G3,KIEN_THUC,G3,"Hiểu sâu về Entity Framework Core để thực hiện các thao tác ORM (Object-Relational Mapping), truy vấn và quản lý cơ sở dữ liệu."
SC6214_G4,KIEN_THUC,G4,Năm vững nguyên lý về Authentication (Xác thực) và Authorization (Phân quyền) để bảo vệ ứng dụng.
SC6218_G1,KIEN_THUC,G1,Trang bị cho người học các kiến thức thực nền tảng quy trình để xây dựng và phát triển ứng dụng game
SC6218_G2,KY_NANG,G2,Người học thiết kế và hoàn thiện một sản phẩm game 2D.
SC6218_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
SC6218_G1,KIEN_THUC,G1,Trang bị cho người học các kiến thức thực nền tảng quy trình để xây dựng và phát triển ứng dụng game
SC6218_G2,KY_NANG,G2,Người học thiết kế và hoàn thiện một sản phẩm game 2D.
SC6218_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
SC6222_G1,KIEN_THUC,G1,"Trang bị các kiến thức nền tảng và nâng cao về tích hợp hệ thống phần mềm, bao gồm các công nghệ xử lý dữ liệu và giao tiếp như XML, XSD, XSLT, JSON, DOM và Web API."
SC6222_G2,KY_NANG,G2,"Phát triển kỹ năng thực hành phân tích yêu cầu, thiết kế, xây dựng Web API và tích hợp các ứng dụng phần mềm trên nhiều nền tảng khác nhau đáp ứng nhu cầu thực tiễn."
SC6222_G1,KIEN_THUC,G1,Kiến thức: Kỹ năng: Thái độ:
SC6224_G1,KIEN_THUC,G1,"Trang bị cho người học các kiến thức cơ bản về thiết kế và phát triển website, các nguyên tắc thiết kế giao diện web."
SC6224_G2,KY_NANG,G2,"Người học vận dụng kiến thức cơ bản về các ngôn ngữ HTML, CSS, JavaScript để thiết kế và xây dựng giao diện trang web."
SC6224_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
SC6224_G1,KIEN_THUC,G1,"Trang bị cho người học các kiến thức cơ bản về thiết kế và phát triển website, các nguyên tắc thiết kế giao diện web."
SC6224_G2,KY_NANG,G2,"Người học vận dụng kiến thức cơ bản về các ngôn ngữ HTML, CSS, JavaScript để thiết kế và xây dựng giao diện trang web."
SC6224_G3,TU_CHU_TRACH_NHIEM,G3,"Người học chủ động, cầu thị trong học tập, có ý thức tự giác và thái độ học tập nghiệm túc."
