clo_id,ma_cdr_goc,noi_dung,pi_so,muc_do
BS6021_CLO2,CLO2,"Phân tích được thực trạng các vấn đề môi trường toàn cầu và hiện trạng ô nhiễm môi trường (đất, nước, không khí) ở Việt Nam dưới tác động của công nghiệp hóa, đô thị hóa và các hoạt động của con người.",,
BS6021_CLO3,CLO3,Vận dụng được các cách tiếp cận về bảo vệ môi trường và phát triển bền vững để giải quyết các vấn đề thực tiễn liên quan đến khai thác tài nguyên và quản lý chất thải.,,
BS6021_CLO4,CLO4,"Đề xuất được các biện pháp cụ thể và khả thi nhằm bảo vệ môi trường, bảo tồn tài nguyên thiên nhiên tại địa phương hoặc trong đời sống hằng ngày.",,
BS6021_CLO5,CLO5,"Thể hiện thái độ trách nhiệm, chủ động và tích cực tham gia các hoạt động bảo vệ môi trường, lan tỏa lối sống thân thiện với môi trường.",,
BS6038_L1,L1,"Trình bày được các kiến thức cơ bản, giải được các bài toán cơ bản của Giải tích.",,
BS6038_L2,L2,Nhận dạng được một số mô hình bài toán trong khoa học kỹ thuật. Vận dụng các kiến thức để giải được một số bài toán trong khoa học kỹ thuật.,,
BS6038_L1,L1,"Trình bày được các kiến thức cơ bản, giải được các bài toán cơ bản của Giải tích.",,
BS6038_L2,L2,Nhận dạng được một số mô hình bài toán trong khoa học kỹ thuật. Vận dụng các kiến thức để giải được một số bài toán trong khoa học kỹ thuật.,,
BS6042_L1,L1,"Vận dụng được các kiến thức cơ bản về đại lượng ngẫu nhiên, đặc trưng của đại lượng ngẫu nhiên và một số phân phối xác suất thường gặp vào các bài toán tính toán cơ bản.",,
BS6042_L3,L3,"Áp dụng thành thạo các kiến thức về hàm của các đại lượng ngẫu nhiên, véc tơ ngẫu nhiên để giải được các bài toán có yếu tố liên quan thực tế hoặc các bài toán liên quan chuyên ngành.",,
BS6042_L2,L2,"Nhận dạng, phân loại được các bài toán. Vận dụng kiến thức để giải được các bài tập có liên quan.",,
BS6042_L1,L1,"Vận dụng được các kiến thức cơ bản về đại lượng ngẫu nhiên, đặc trưng của đại lượng ngẫu nhiên và một số phân phối xác suất thường gặp vào các bài toán tính toán cơ bản.",,
BS6042_L3,L3,"Áp dụng thành thạo các kiến thức về hàm của các đại lượng ngẫu nhiên, véc tơ ngẫu nhiên để giải được các bài toán có yếu tố liên quan thực tế hoặc các bài toán liên quan chuyên ngành.",,
BS6042_L2,L2,"Nhận dạng, phân loại được các bài toán. Vận dụng kiến thức để giải được các bài tập có liên quan.",,
BS6050_CLO1,CLO1,"Trình bày được tổng quan về âm nhạc, khái quát lịch sử hình thành và phát triển của âm nhạc thế giới và âm nhạc Việt Nam.",,
BS6050_CLO2,CLO2,Nhận diện và phân biệt được các thể loại âm nhạc khác nhau trong đời sống.,,
BS6050_CLO3,CLO3,"Vận dụng được các kiến thức lý thuyết cơ bản về tiết tấu, nhịp phách, quãng, hợp âm và cách đọc bản nhạc vào thực tế.",,
BS6050_CLO4,CLO4,Thực hành thành thạo một số tiết tấu cơ bản và kỹ năng chơi nhạc trên đàn Piano ở mức độ nhập môn.,,
BS6050_CLO5,CLO5,"Thể hiện khả năng cảm thụ nghệ thuật, âm nhạc và phát triển kỹ năng làm việc nhóm, kỹ năng xã hội nhằm thích ứng với môi trường làm việc và nâng cao chất lượng cuộc sống.",,
BS6050_CLO1,CLO1,"Trình bày được tổng quan về âm nhạc, khái quát lịch sử hình thành và phát triển của âm nhạc thế giới và âm nhạc Việt Nam.",,
BS6050_CLO2,CLO2,Nhận diện và phân biệt được các thể loại âm nhạc khác nhau trong đời sống.,,
BS6050_CLO3,CLO3,"Vận dụng được các kiến thức lý thuyết cơ bản về tiết tấu, nhịp phách, quãng, hợp âm và cách đọc bản nhạc vào thực tế.",,
BS6050_CLO4,CLO4,Thực hành thành thạo một số tiết tấu cơ bản và kỹ năng chơi nhạc trên đàn Piano ở mức độ nhập môn.,,
BS6050_CLO5,CLO5,"Thể hiện khả năng cảm thụ nghệ thuật, âm nhạc và phát triển kỹ năng làm việc nhóm, kỹ năng xã hội nhằm thích ứng với môi trường làm việc và nâng cao chất lượng cuộc sống.",,
BS6051_CLO1,CLO1,"Trình bày được những kiến thức cơ bản về khái niệm, nguồn gốc, vai trò và các chức năng xã hội của nghệ thuật.",,
BS6051_CLO2,CLO2,"Phân tích được khái niệm hình tượng nghệ thuật, mối quan hệ giữa nội dung và hình thức trong tác phẩm nghệ thuật.",,
BS6051_CLO3,CLO3,"Nhận diện và phân biệt được đặc điểm hình thức, ngôn ngữ của các loại hình nghệ thuật tiêu biểu như kiến trúc, điêu khắc, hội họa, múa, sân khấu, điện ảnh và văn học.",,
BS6051_CLO4,CLO4,Vận dụng kỹ năng thưởng thức nghệ thuật để đánh giá các tác phẩm nghệ thuật cụ thể trong đời sống.,,
BS6051_CLO5,CLO5,Hiểu và vận dụng được một số hình thức cơ bản của giáo dục thẩm mỹ vào thực tiễn đời sống và học tập.,,
BS6051_CLO1,CLO1,"Trình bày được những kiến thức cơ bản về khái niệm, nguồn gốc, vai trò và các chức năng xã hội của nghệ thuật.",,
BS6051_CLO2,CLO2,"Phân tích được khái niệm hình tượng nghệ thuật, mối quan hệ giữa nội dung và hình thức trong tác phẩm nghệ thuật.",,
BS6051_CLO3,CLO3,"Nhận diện và phân biệt được đặc điểm hình thức, ngôn ngữ của các loại hình nghệ thuật tiêu biểu như kiến trúc, điêu khắc, hội họa, múa, sân khấu, điện ảnh và văn học.",,
BS6051_CLO4,CLO4,Vận dụng kỹ năng thưởng thức nghệ thuật để đánh giá các tác phẩm nghệ thuật cụ thể trong đời sống.,,
BS6051_CLO5,CLO5,Hiểu và vận dụng được một số hình thức cơ bản của giáo dục thẩm mỹ vào thực tiễn đời sống và học tập.,,
BS6052_CLO1,CLO1,"Trình bày được khái niệm, nguồn gốc, vai trò của mỹ thuật và khái quát lịch sử mỹ thuật Việt Nam cũng như thế giới.",,
BS6052_CLO2,CLO2,"Phân tích được ngôn ngữ và các thể loại cơ bản của hội họa, điêu khắc và đồ họa trong mỹ thuật.",,
BS6052_CLO3,CLO3,"Hiểu rõ vai trò, ý nghĩa và xu hướng thẩm mỹ của các sản phẩm mỹ thuật công nghiệp đối với sản xuất và đời sống.",,
BS6052_CLO4,CLO4,Vận dụng được các nguyên tắc thiết kế tạo dáng và thẩm mỹ để định hình kiểu dáng cho sản phẩm công nghiệp.,,
BS6052_CLO5,CLO5,Ứng dụng hiệu ứng thị giác và đồ họa vào việc thiết kế các sản phẩm công nghiệp đạt độ thẩm mỹ thích hợp.,,
BS6052_CLO1,CLO1,"Trình bày được khái niệm, nguồn gốc, vai trò của mỹ thuật và khái quát lịch sử mỹ thuật Việt Nam cũng như thế giới.",,
BS6052_CLO2,CLO2,"Phân tích được ngôn ngữ và các thể loại cơ bản của hội họa, điêu khắc và đồ họa trong mỹ thuật.",,
BS6052_CLO3,CLO3,"Hiểu rõ vai trò, ý nghĩa và xu hướng thẩm mỹ của các sản phẩm mỹ thuật công nghiệp đối với sản xuất và đời sống.",,
BS6052_CLO4,CLO4,Vận dụng được các nguyên tắc thiết kế tạo dáng và thẩm mỹ để định hình kiểu dáng cho sản phẩm công nghiệp.,,
BS6052_CLO5,CLO5,Ứng dụng hiệu ứng thị giác và đồ họa vào việc thiết kế các sản phẩm công nghiệp đạt độ thẩm mỹ thích hợp.,,
BS6054_CLO1,CLO1,"Trình bày được các khái niệm và định luật cơ bản về Cơ học chất điểm, hệ chất điểm và cơ học vật rắn.",,
BS6054_CLO2,CLO2,"Vận dụng được kiến thức về trường tĩnh điện, tụ điện, dòng điện không đổi và mạch điện thực tế vào việc giải quyết các bài toán liên quan.",,
BS6054_CLO3,CLO3,"Phân tích được các hiện tượng từ trường, cảm ứng điện từ và các hệ phương trình Maxwell của trường điện từ.",,
BS6054_CLO4,CLO4,Sử dụng thành thạo các dụng cụ đo lường vật lý để tiến hành các thí nghiệm về cơ học và điện - từ học.,,
BS6054_CLO5,CLO5,"Thực hiện xử lý số liệu thực nghiệm, tính toán sai số và phân tích kết quả đo đạc trong các bài thí nghiệm vật lý đại cương.",,
BS6054_CLO1,CLO1,"Trình bày được các khái niệm và định luật cơ bản về Cơ học chất điểm, hệ chất điểm và cơ học vật rắn.",,
BS6054_CLO2,CLO2,"Vận dụng được kiến thức về trường tĩnh điện, tụ điện, dòng điện không đổi và mạch điện thực tế vào việc giải quyết các bài toán liên quan.",,
BS6054_CLO3,CLO3,"Phân tích được các hiện tượng từ trường, cảm ứng điện từ và các hệ phương trình Maxwell của trường điện từ.",,
BS6054_CLO4,CLO4,Sử dụng thành thạo các dụng cụ đo lường vật lý để tiến hành các thí nghiệm về cơ học và điện - từ học.,,
BS6054_CLO5,CLO5,"Thực hiện xử lý số liệu thực nghiệm, tính toán sai số và phân tích kết quả đo đạc trong các bài thí nghiệm vật lý đại cương.",,
IT6202_CLO1,CLO1,Trình bày được tổng quan về kiến trúc máy tính và các thành phần cơ bản của hệ thống phần cứng.,,
IT6202_CLO2,CLO2,Phân tích và vận dụng được các khái niệm về kiến trúc tập lệnh trong thiết kế và lập trình.,,
IT6202_CLO3,CLO3,Hiểu rõ cơ chế hoạt động của đường truyền và hệ thống vào/ra để kết nối các thiết bị ngoại vi với hệ thống máy tính.,,
IT6202_CLO4,CLO4,Giải thích được cấu trúc hệ thống nhớ phân cấp và phương pháp tối ưu hóa hiệu năng truy xuất bộ nhớ.,,
IT6202_CLO5,CLO5,Đánh giá được nguyên lý hoạt động của kỹ thuật đường ống và công nghệ tập lệnh thu gọn (RISC) nhằm nâng cao hiệu năng xử lý của bộ vi xử lý.,,
IT6203_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, vai trò và kiến trúc tổng quan của hệ điều hành.",,
IT6203_CLO2,CLO2,"Giải thích và áp dụng được các cơ chế quản lý tiến trình, luồng và các thuật toán lập lịch cho CPU.",,
IT6203_CLO3,CLO3,"Phân tích nguyên nhân và đề xuất phương pháp phòng ngừa, phát hiện và xử lý hiện tượng bế tắc (deadlock) trong hệ thống.",,
IT6203_CLO4,CLO4,Đánh giá và vận dụng được các kỹ thuật quản lý bộ nhớ chính và bộ nhớ ngoài của hệ điều hành.,,
IT6203_CLO5,CLO5,"Mô tả được nguyên lý quản lý thiết bị nhập/xuất và các cơ chế bảo vệ, đảm bảo an toàn cho hệ thống.",,
IT6204_L1,L1,"Áp dụng kiến thức công nghệ thông tin để xác định yêu cầu, cấu trúc và lường xử lý của hệ thống",PI 1.2,IT
IT6204_L2,L2,"Vận dụng kỹ năng làm việc nhóm để tổ chức, phối hợp và điều phối các hoạt động nhóm một cách hiệu quả trong học tập và thực tiễn.",PI 3.1;PI 3.2;PI 3.3,IT
IT6204_L3,L3,Đề xuất giải pháp thiết kế hệ thống sử dụng ngôn ngữ mô hình hóa UMLvà các công cụ thiết kế phần mềm.,PI 5.,
IT6204_L1,L1,"Áp dụng kiến thức công nghệ thông tin để xác định yêu cầu, cấu trúc và lường xử lý của hệ thống",PI 1.2,IT
IT6204_L2,L2,"Vận dụng kỹ năng làm việc nhóm để tổ chức, phối hợp và điều phối các hoạt động nhóm một cách hiệu quả trong học tập và thực tiễn.",PI 3.1;PI 3.2;PI 3.3,IT
IT6204_L3,L3,Đề xuất giải pháp thiết kế hệ thống sử dụng ngôn ngữ mô hình hóa UMLvà các công cụ thiết kế phần mềm.,PI 5.2,IT
IT6205_L1,L1,Thiết kế hoặc phân tích được bản thiết kế sản phẩm/dịch vụ/công nghệ/giai pháp cho một bài toán thực tế và thực hiện được công việc đáp ứng các yêu cầu.,PI 5.1;PI 5.2,U
IT6205_L2,L2,Xác định được rõ trách nhiệm nghề nghiệp; Đánh giá được các tình huống dựa trên các quy định của pháp luật và đạo đức nghề nghiệp.,PI 4.1;PI 4.2;PI 4.3,U
IT6205_L1,L1,Thiết kế hoặc phân tích được bản thiết kế sản phẩm/dịch·vụ/công nghệ/giai pháp cho một bài toán thực tế và.thực hiện được công việc đáp ứng các yêu cầu.,PI 5.1PI 5.2,U
IT6205_L2,L2,Xác định được rõ trách nhiệm nghề nghiệp; Đánh giá được các tình huống dựa trên các quy định của pháp luật và đạo đức nghề nghiệp.,PI 4.1PI 4.2PI 4.3,U
IT6206_L1,L1,Lựa chọn được giải pháp công nghệ thông tin có đề cấp đến khía cạnh an toàn đáp ứng các yêu cầu của bài toán thực tế.,PI 6.1,U
IT6206_L2,L2,"Phát triển, tích hợp được giải pháp phần mềm an toàn đáp ứng các yêu cầu của bài toán thực tế.",PI 6.2;PI 6.4,U
IT6206_L3,L3,Vận dụng và quản trị được hệ thống phần mềm an toàn đáp ứng các yêu cầu của bài toán thực tế.,PI 6.3;PI 6.5,U
IT6206_L1,L1,Lựa chọn được giải pháp công nghệ thông tin có đề cấp đến khía cạnh an toàn đáp ứng các yêu cầu của bài toán thực tế.,PI 6.1,U
IT6206_L2,L2,"Phát triển, tích hợp được giải pháp phần mềm an toàn đáp ứng các yêu cầu của bài toán thực tế.",PI 6.2;PI 6.4,U
IT6206_L3,L3,Vận dụng và quản trị được hệ thống phần mềm an toàn đáp ứng các yêu cầu của bài toán thực tế.,PI 6.3;PI 6.5,U
IT6207_L1,L1,"Xác định được vai trò, trách nhiệm nghề nghiệp của người làm việc trong lĩnh vực Hệ thống thông tin và hoàn thành các nhiệm vụ được giao khi tham gia các hoạt động thực tế tại doanh nghiệp.",PI 4.1,U
IT6207_L2,L2,Phân tích và đánh giá được các tình huống phát sinh trong quá trình thực tập tại doanh nghiệp công nghệ thông tin.,PI 4.,
IT6207_L3,L3,Đánh giá và lựa chọn được cách ứng xử phù hợp trong các tình huống nghề nghiệp dựa trên các nguyên tắc đạo đức nghề nghiệp và chuẩn mục xã hội trong lĩnh vực công nghệ thông tin.,PI 4.3,U
IT6207_L1,L1,"Xác định được vai trò, trách nhiệm nghề nghiệp của người làm việc trong lĩnh vực Hệ thống thông tin và hoàn thành các nhiệm vụ được giao khi tham gia các hoạt động thực tế tại doanh nghiệp.",PI 4.1,U
IT6207_L2,L2,Phân tích và đánh giá được các tình huống phát sinh trong quá trình thực tập tại doanh nghiệp công nghệ thông tin.,PI 4.,
IT6207_L3,L3,Đánh giá và lựa chọn được cách ứng xử phù hợp trong các tình huống nghề nghiệp dựa trên các nguyên tắc đạo đức nghề nghiệp và chuẩn mục xã hội trong lĩnh vực công nghệ thông tin.,PI 4.3,U
IT6208_L1,L1,Thực hiện và đánh giá được giải pháp hệ thống thông tin đáp ứng các yêu cầu điện toán cho trước bằng các kỹ thuật và phương pháp của lĩnh vực Hệ thống thông tin.,null,
IT6208_L2,L2,"Thực hiện được việc chuyển giao và vận hành hệ thống thông tin, đảm bảo hệ thống hoạt động đúng yêu cầu kỹ thuật và mục tiêu đề ra.",PI 6.1;PI 6.2,U
IT6208_L3,L3,"Quản lý được hệ thống thông tin ở mức cơ bản, bao gồm quản lý chức năng, dữ liệu, vận hành và các rủi ro trong quá trình sử dụng.",PI 6.3,U
IT6208_L1,L1,Thực hiện và đánh giá được giải pháp hệ thống thông tin đáp ứng các yêu cầu điện toán cho trước bằng các kỹ thuật và phương pháp của lĩnh vực Hệ thống thông tin.,null,
IT6208_L2,L2,"Thực hiện được việc chuyển giao và vận hành hệ thống thông tin, đảm bảo hệ thống hoạt động đúng yêu cầu kỹ thuật và mục tiêu đề ra.",PI 6.1;PI 6.2,U
IT6208_L3,L3,"Quản lý được hệ thống thông tin ở mức cơ bản, bao gồm quản lý chức năng, dữ liệu, vận hành và các rủi ro trong quá trình sử dụng.",PI 6.3,U
IT6217_L1,L1,"Giải thích được kiến thức liên quan tới nhóm ngành Máy tính và công nghệ thông tin, ngành của sinh viên theo học và biết vận dụng phương pháp học tập hiệu quả vào học tập.",,
IT6217_L2,L2,Khả năng giao tiếp trong môi trường kỹ thuật và phi kỹ thuật và khả năng thuyết trình hiệu quả,,
IT6217_L3,L3,Xác định được trách nhiệm nghề nghiệp trong thực hành điện toán và đánh giá được các tình huống dựa trên cơ sở đạo đức và pháp luật.,,
IT6217_L4,L4,"Khả năng thành lập, triển khai, điều phối nhóm làm việc hiệu quả",,
IT6218_L1,L1,Xây dựng được CSDL trên Hệ quản trị CSDL.,PI 6.2,T
IT6218_L2,L2,"Lập trình được khung nhìn, hàm, thủ tục truy vấn với CSDL trên Hệ quản trị CSDL.",PI 6.2,T
IT6218_L3,L3,"Sử dụng được hệ quản trị CSDL trong việc bảo mật thông tin, quản trị người dùng, sao lưu và phục hồi dữ liệu.",PI 6.3,U
IT6218_L1,L1,Xây dựng được CSDL trên Hệ quản trị CSDL.,PI 6.2,T
IT6218_L2,L2,"Lập trình được khung nhìn, hàm, thủ tục truy vấn với CSDL trên Hệ quản trị CSDL.",PI 6.2,T
IT6218_L3,L3,"Sử dụng được hệ quản trị CSDL trong việc bảo mật thông tin, quản trị người dùng, sao lưu và phục hồi dữ liệu.",PI 6.3,U
LP6010_CLO1,CLO1,"Trình bày được các khái niệm cơ bản, vai trò của triết học trong đời sống xã hội và quá trình hình thành, phát triển của Triết học Mác - Lênin.",,
LP6010_CLO2,CLO2,"Phân tích được nội dung của chủ nghĩa duy vật biện chứng, bao gồm vấn đề vật chất và ý thức, các nguyên lý, cặp phạm trù, quy luật cơ bản của phép biện chứng duy vật và lý luận nhận thức.",,
LP6010_CLO3,CLO3,"Vận dụng được các quan điểm của chủ nghĩa duy vật lịch sử để phân tích các hiện tượng xã hội thông qua học thuyết hình thái kinh tế - xã hội, vấn đề giai cấp, dân tộc, nhà nước và ý thức xã hội.",,
LP6010_CLO4,CLO4,Đánh giá được bản chất của con người và vai trò của con người trong lịch sử dưới góc nhìn của triết học Mác - Lênin.,,
